Team Name,Average Age,Games Played,Wins,Losses,Overtime/Shootout Losses,Points,Points %,Goals For,Goals Against,Simple Rating System,Strength of Schedule,Total Goals per Game (For and Against),PowerPlay Goals,PowerPlay Opportunities,PowerPlay %,PowerPlay Goals Against,PowerPlay Opportunities Against,Penalty Killiing %,Shorthanded Goals For,Shorthanded Goals Against,Shots on Goal,Shooting %,Shots Against,Save %,PDO,Shutouts
Anaheim Ducks,27.5,82,35,37,10,80,0.488,196,248,-0.63,0.01,5.41,36,212,16.98,55,271,79.70,5,10,2271,8.6,2725,.909,99.9,4
Arizona Coyotes,27.2,82,39,35,8,86,0.524,209,220,-0.14,-0.02,5.23,42,258,16.28,34,226,84.96,16,9,2522,8.3,2526,.913,99.0,6
Boston Bruins,28.7,82,49,24,9,107,0.652,257,212,0.52,-0.01,5.72,65,251,25.90,49,244,79.92,7,15,2680,9.6,2416,.912,100.4,9
Buffalo Sabres,26.6,82,33,39,10,76,0.463,221,268,-0.51,0.04,5.96,46,236,19.49,41,215,80.93,3,9,2697,8.2,2704,.901,98.9,2
Calgary Flames,27.7,82,50,25,7,107,0.652,289,223,0.70,-0.06,6.24,53,275,19.27,50,246,79.67,18,7,2656,10.9,2302,.903,100.8,3
Carolina Hurricanes,26.7,68,38,25,5,81,0.596,217,193,0.41,-0.02,6.03,46,206,22.33,39,243,83.95,10,4,2261,9.6,1994,.903,99.5,6
Chicago Blackhawks,28.5,82,36,34,12,84,0.512,267,291,-0.25,0.02,6.80,48,238,20.17,63,231,72.73,6,7,2669,10.0,2852,.898,100.4,2
Colorado Avalanche,27.0,82,38,30,14,90,0.549,258,244,0.17,-0.01,6.12,63,286,22.03,58,272,78.68,9,5,2676,9.6,2619,.907,99.9,5
Columbus Blue Jackets,26.6,82,47,31,4,98,.598,256,231,0.31,-0.01,5.94,34,221,15.38,30,200,85.00,8,6,2592,9.9,2418,.904,100.3,9
Dallas Stars,28.3,82,43,32,7,93,0.567,209,200,0.09,0.00,4.99,45,214,21.03,41,238,82.77,4,2,2519,8.3,2591,.923,100.3,10
Detroit Red Wings,29.3,82,32,40,10,74,0.451,224,272,-0.57,0.04,6.05,39,216,18.06,56,245,77.14,7,7,2394,9.4,2761,.901,99.8,2
Edmonton Oilers,27.2,82,35,38,9,79,0.482,229,271,-0.51,0.01,6.10,47,222,21.17,62,246,74.80,10,7,2392,9.6,2599,.896,99.3,5
Florida Panthers,28.0,82,36,32,14,86,0.524,264,273,-0.14,0.02,6.55,72,269,26.77,43,230,81.30,3,13,2705,9.8,2516,.891,98.7,1
Los Angeles Kings,29.3,82,31,42,9,71,0.433,199,259,-0.73,0.02,5.59,35,221,15.84,54,230,76.52,4,13,2358,8.4,2578,.900,99.4,5
Minnesota Wild,29.5,82,37,36,9,83,0.506,210,233,-0.30,0.02,5.40,49,241,20.33,44,240,81.67,5,4,2567,8.2,2419,.904,98.6,2
Montreal Canadiens,27.9,82,44,30,8,96,0.585,246,236,0.16,0.00,5.88,31,234,13.25,46,241,80.91,5,4,2796,8.8,2548,.907,100.1,4
Nashville Predators,28.9,82,47,29,6,100,0.610,236,212,0.31,-0.01,5.46,33,255,12.94,45,251,82.07,8,8,2677,8.8,2460,.914,100.4,7
New Jersey Devils,27.5,82,31,41,10,72,0.439,219,271,-0.61,0.04,5.98,45,254,17.72,40,255,84.31,10,10,2488,8.8,2592,.895,98.9,6
New York Islanders,28.4,82,48,27,7,103,0.628,223,191,0.38,-0.01,5.05,33,227,14.54,44,219,79.91,6,1,2360,9.4,2534,.925,101.9,11 
New York Rangers,27.4,82,32,36,14,78,0.476,221,267,-0.52,0.03,5.95,44,227,19.38,58,266,78.20,7,4,2393,9.2,2774,.904,99.7,2
Ottawa Senators,27.3,82,29,47,6,64,0.390,242,301,-0.69,0.05,6.62,46,226,20.35,45,216,79.17,4,8,2429,10.0,2931,.897,99.6,4
Philadelphia Flyers,26.6,82,37,37,8,82,0.500,241,280,-0.42,0.03,6.35,40,234,17.09,51,237,78.48,4,11,2583,9.3,2665,.895,99.4,3
Pittsburgh Penguins,28.4,82,44,26,12,100,0.610,271,238,0.38,-0.01,6.21,56,228,24.56,45,222,79.73,12,15,2731,9.9,2729,.913,101.2,7
San Jose Sharks,29.4,82,46,27,9,101,0.616,289,258,0.30,-0.04,6.67,57,241,23.65,45,234,80.77,9,9,2708,10.7,2323,.889,98.9,5
St. Louis Blues,28.0,82,45,28,9,99,0.604,244,220,0.28,-0.01,5.66,50,237,21.10,43,232,81.47,5,7,2604,9.4,2345,.906,100.2,9
Tampa Bay Lightning,27.1,82,62,16,4,128,0.780,319,221,1.21,-0.05,6.59,74,262,28.24,40,267,85.02,12,3,2620,12.2,2633,.916,101.7,6
Toronto Maple Leafs,27.5,82,46,28,8,100,0.610,286,249,0.42,-0.01,6.52,46,211,21.80,41,204,79.90,5,9,2736,10.5,2717,.908,101.6,3
Vancouver Canucks,26.9,82,35,36,11,81,0.494,219,248,-0.35,0.01,5.70,43,251,17.13,48,254,81.10,7,8,2433,9.0,2597,.905,99.5,1
Vegas Golden Knights,29.2,82,43,32,7,93,0.567,246,228,0.19,-0.04,5.78,39,232,16.81,44,230,80.87,11,2,2814,8.7,2399,.905,99.4,9
Washington Capitals,28.8,82,48,26,8,104,0.634,274,248,0.35,-0.01,6.37,49,236,20.76,55,261,78.93,5,5,2492,11.0,2584,.904,101.8,4
Winnipeg Jets,26.6,82,47,30,5,99,0.604,270,243,0.33,-0.02,6.26,62,250,24.80,52,250,79.20,10,7,2557,10.6,2741,.911,100.6,3