Team Name,Average Age,Games Played,Wins,Losses,Overtime/Shootout Losses,Points,Points %,Goals For,Goals Against,Simple Rating System,Strength of Schedule,Total Goals per Game (For and Against),PowerPlay Goals,PowerPlay Opportunities,PowerPlay %,PowerPlay Goals Against,PowerPlay Opportunities Against,Penalty Killiing %,Shorthanded Goals For,Shorthanded Goals Against,Shots on Goal,Shooting %,Shots Against,Save %,PDO,Shutouts,Corsi For %,5v5 Save %,5v5 Shooting %
Anaheim Ducks,27.8,71,29,33,9,67,.472,182,225,-0.53,0.02,5.73,27,184,14.67,49,213,77.00,10,5,2106,8.6,2282,.901,99.6,1,48.3,0.924,7.2
Arizona Coyotes,28.2,70,33,29,8,74,.529,190,183,0.11,0.00,5.33,41,214,19.16,34,197,82.74,5,5,2220,8.6,2270,.919,100.3,4,48.3,0.933,7
Boston Bruins,29.1,70,44,14,12,100,.714,227,167,0.74,-0.02,5.63,57,226,25.22,34,215,84.19,5,7,2247,10.1,2103,.921,101.5,8,50.8,0.937,7.8
Buffalo Sabres,26.5,69,30,31,8,68,.493,193,215,-0.34,-0.03,5.91,37,196,18.88,47,185,74.59,5,11,2021,9.5,2148,.900,100.2,3,49.1,0.925,7.7
Calgary Flames,27.7,70,36,27,7,79,.564,204,214,-0.08,-0.01,5.97,41,193,21.24,35,196,82.14,6,9,2212,9.2,2271,.906,99.4,4,50.3,0.923,7.1
Carolina Hurricanes,26.7,68,38,25,5,81,.596,217,193,0.41,-0.02,6.03,46,206,22.33,39,243,83.95,10,4,2261,9.6,1994,.903,99.5,6,54.3,0.919,7.6
Chicago Blackhawks,28.1,70,32,30,8,72,.514,208,214,-0.05,0.04,6.03,33,217,15.21,37,207,82.13,6,8,2227,9.3,2458,.913,100.7,1,48.6,0.928,7.9
Colorado Avalanche,26.8,70,42,20,8,92,.657,236,190,0.64,-0.02,6.09,46,241,19.09,39,210,81.43,8,6,2257,10.5,2193,.913,101.9,4,51.7,0.934,8.4
Columbus Blue Jackets,26.2,70,33,22,15,81,.579,180,183,-0.12,-0.02,5.19,31,189,16.40,31,169,81.66,3,5,2272,7.9,2092,.913,99.6,7,49.2,0.933,6.4
Dallas Stars,29.4,69,37,24,8,82,.594,178,174,0.09,0.05,5.10,42,199,21.11,44,217,79.72,5,4,2113,8.4,2177,.920,99.9,2,49.5,0.936,6.3
Detroit Red Wings,28.6,71,17,49,5,39,.275,142,265,-1.70,0.02,5.73,32,215,14.88,58,226,74.34,4,13,1924,7.4,2329,.886,97.2,1,45.8,0.913,5.9
Edmonton Oilers,28.0,71,37,25,9,83,.585,223,215,0.09,-0.02,6.17,59,200,29.50,31,199,84.42,3,10,2100,10.6,2274,.905,99.8,2,47.9,0.918,8
Florida Panthers,28.2,69,35,26,8,78,.565,228,224,0.05,0.01,6.55,45,211,21.33,40,186,78.49,4,5,2253,10.1,2227,.899,100.2,2,49.6,0.917,8.4
Los Angeles Kings,28.6,70,29,35,6,64,.457,177,209,-0.48,0.01,5.51,33,193,17.10,43,190,77.37,5,1,2325,7.6,2079,.899,98.1,1,53,0.921,6
Minnesota Wild,29.4,69,35,27,7,77,.558,218,217,0.01,0.01,6.30,46,216,21.30,47,206,77.18,3,6,2077,10.5,2115,.897,101.0,6,49.6,0.921,8.9
Montreal Canadiens,28.4,71,31,31,9,71,.500,208,220,-0.12,0.01,6.03,33,186,17.74,45,211,78.67,6,5,2422,8.6,2208,.900,99.3,4,54.5,0.923,7
Nashville Predators,29.1,69,35,26,8,78,.565,212,214,-0.03,-0.01,6.17,39,226,17.26,51,213,76.06,6,8,2287,9.3,2157,.901,100.3,7,50.9,0.925,7.8
New Jersey Devils,26.9,69,28,29,12,68,.493,185,224,-0.57,0.02,5.93,42,234,17.95,39,221,82.35,9,10,2117,8.7,2256,.901,99.1,4,46.2,0.919,7.2
New York Islanders,28.8,68,35,23,10,80,.588,189,190,0.01,0.02,5.57,29,168,17.26,34,176,80.68,6,5,2016,9.4,2123,.911,100.3,3,46.5,0.928,7.4
New York Rangers,26.2,70,37,28,5,79,.564,233,220,0.15,-0.03,6.47,52,227,22.91,52,230,77.39,8,6,2175,10.7,2381,.908,100.9,3,46.8,0.926,8.3
Ottawa Senators,27.7,71,25,34,12,62,.437,190,238,-0.76,-0.02,6.03,30,211,14.22,55,230,76.09,15,6,2174,8.7,2384,.900,99.3,0,48.2,0.921,7.2
Philadelphia Flyers,27.2,69,41,21,7,89,.645,227,191,0.52,0.00,6.06,47,226,20.80,38,209,81.82,8,6,2166,10.5,1977,.903,100.6,3,51.1,0.92,8.6
Pittsburgh Penguins,27.7,69,40,23,6,86,.623,221,196,0.39,-0.02,6.04,42,211,19.91,34,190,82.11,6,5,2204,10.0,2051,.904,100.2,4,51,0.922,8.1
San Jose Sharks,29.5,70,29,36,5,63,.450,180,225,-0.62,0.01,5.79,33,189,17.46,32,224,85.71,7,6,2101,8.6,2140,.895,98.0,2,50.5,0.91,7
St. Louis Blues,28.4,71,42,19,10,94,.662,223,190,0.47,0.02,5.82,49,202,24.26,42,203,79.31,5,6,2179,10.2,2100,.910,101.3,5,50.9,0.932,8.1
Tampa Bay Lightning,27.7,70,43,21,6,92,.657,243,194,0.71,0.00,6.24,49,211,23.22,43,231,81.39,6,7,2176,11.2,2165,.910,101.9,4,52.2,0.93,8.8
Toronto Maple Leafs,26.8,70,36,25,9,81,.579,237,222,0.15,-0.01,6.56,45,195,23.08,43,193,77.72,5,7,2302,10.3,2233,.901,99.8,4,51.9,0.917,8.1
Vancouver Canucks,27.5,69,36,27,6,78,.565,224,214,0.13,-0.03,6.35,57,236,24.15,42,215,80.47,5,4,2153,10.4,2297,.907,100.4,2,58.3,0.923,8
Vegas Golden Knights,29.2,71,39,24,8,86,.606,224,209,0.21,-0.02,6.10,42,191,21.99,50,214,76.64,9,3,2450,9.1,2082,.900,99.0,6,54.8,0.917,7.3
Washington Capitals,29.0,69,41,20,8,90,.652,236,212,0.41,0.04,6.49,42,216,19.44,42,241,82.57,6,9,2206,10.7,2084,.898,100.5,1,51.6,0.92,8.6
Winnipeg Jets,26.5,71,37,28,6,80,.563,213,201,0.17,-0.01,5.83,42,205,20.49,39,174,77.59,6,3,2222,9.6,2315,.913,100.4,6,48.6,0.929,7.5